"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2023","4","",158778,2092697,2101233,2102952,32915100344,1759947720,13833132,1206,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6343,4.2,46583,2.3,44224,2.1,42377,2.1,1997024387,6.5,-70621288,-3.9,-11681105,-45.8,48,4.1
"01000","1","10","51","0","2023","4","",1267,57669,57732,58066,1468604712,0,0,1954,"",1.55,1.44,1.43,1.44,1.75,0.00,0.00,1.22,"",15,1.2,2301,4.2,1881,3.4,1816,3.2,189210300,14.8,0,0.0,0,0.0,191,10.8
"01000","2","10","51","0","2023","4","",1440,103764,104599,104425,1827470907,25230,50,1348,"",1.50,1.62,1.62,1.62,1.75,0.00,0.00,1.08,"",19,1.3,5598,5.7,6353,6.5,6155,6.3,167051960,10.1,-11488,-31.3,-207,-80.5,48,3.7
"01000","3","10","51","0","2023","4","",3764,221255,222259,222630,3052801060,12319598,65638,1058,"",1.65,1.11,1.11,1.11,1.13,0.32,0.84,1.02,"",7,0.2,5091,2.4,5533,2.6,5378,2.5,211814764,7.5,2445993,24.8,-29591,-31.1,50,5.0
"01000","5","10","51","0","2023","4","",152307,1710009,1716643,1717831,26566223665,1747602892,13767444,1192,"",0.98,0.96,0.96,0.96,0.94,1.03,1.00,0.98,"",6302,4.3,33593,2.0,30457,1.8,29028,1.7,1428947363,5.7,-73055793,-4.0,-11651307,-45.8,44,3.8
"01000","8","10","96","0","2023","4","",6471,382688,384590,385121,6348876679,12344828,65688,1271,"",1.60,1.26,1.26,1.26,1.38,0.21,0.66,1.10,"",41,0.6,12990,3.5,13767,3.7,13349,3.6,568077024,9.8,2434505,24.6,-29798,-31.2,72,6.0
"01001","0","10","70","0","2023","4","",1100,12006,11993,12137,157394679,9360743,65944,1005,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,5.5,233,2.0,290,2.5,292,2.5,10797166,7.4,-790695,-7.8,-77928,-54.2,47,4.9
"01001","1","10","71","0","2023","4","",11,109,98,104,1701820,0,0,1263,"",1.95,0.47,0.43,0.45,0.42,0.00,0.00,0.95,"",1,10.0,21,23.9,13,15.3,17,19.5,263897,18.4,0,0.0,0,0.0,-13,-1.0
"01001","2","10","71","0","2023","4","",20,627,628,640,9720899,0,0,1184,"",3.01,1.70,1.70,1.72,1.94,0.00,0.00,1.14,"",1,5.3,-5,-0.8,-16,-2.5,3,0.5,-11132,-0.1,0,0.0,0,0.0,10,0.9
"01001","3","10","71","0","2023","4","",32,1922,1911,1903,24688673,1344,3,993,"",2.03,1.68,1.67,1.65,1.91,0.01,0.01,1.15,"",0,0.0,49,2.6,66,3.6,48,2.6,482056,2.0,1344,100.0,3,100.0,-9,-0.9
"01001","5","10","71","0","2023","4","",1037,9348,9356,9490,121283287,9359399,65941,993,"",0.97,0.91,0.91,0.91,0.90,1.03,1.01,0.98,"",55,5.6,168,1.8,227,2.5,224,2.4,10062345,9.0,-792039,-7.8,-77931,-54.2,62,6.7
"01003","0","10","70","0","2023","4","",8488,82930,82792,82725,1060442597,75532133,568254,985,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",481,6.0,2494,3.1,2208,2.7,2244,2.8,60932134,6.1,-1587653,-2.1,-413195,-42.1,30,3.1
"01003","1","10","71","0","2023","4","",36,415,387,398,7589784,0,0,1460,"",0.83,0.26,0.24,0.25,0.28,0.00,0.00,1.11,"",2,5.9,48,13.1,0,0.0,5,1.3,873218,13.0,0,0.0,0,0.0,109,8.1
"01003","2","10","71","0","2023","4","",38,1153,1144,1082,14760919,0,0,1008,"",0.74,0.45,0.45,0.43,0.44,0.00,0.00,0.99,"",0,0.0,54,4.9,45,4.1,4,0.4,-229775,-1.5,0,0.0,0,0.0,-48,-4.5
"01003","3","10","71","0","2023","4","",93,9538,9602,9623,127175526,538506,1473,1020,"",0.76,1.21,1.22,1.22,1.46,0.33,0.46,1.20,"",2,2.2,319,3.5,325,3.5,295,3.2,8213629,6.9,-33337,-5.8,-2641,-64.2,33,3.3
"01003","5","10","71","0","2023","4","",8321,71824,71659,71622,910916368,74993627,566781,977,"",1.01,1.01,1.01,1.01,1.00,1.03,1.00,0.99,"",477,6.1,2073,3.0,1838,2.6,1940,2.8,52075062,6.1,-1554316,-2.0,-410554,-42.0,30,3.2
"01005","0","10","70","0","2023","4","",595,7538,7655,7659,85871821,6133012,47113,867,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.2,-327,-4.2,-154,-2.0,-213,-2.7,-1541364,-1.8,-615125,-9.1,-41227,-46.7,10,1.2
"01005","1","10","71","0","2023","4","",9,53,56,62,868101,0,0,1172,"",2.95,0.37,0.38,0.42,0.40,0.00,0.00,1.02,"",0,0.0,4,8.2,5,9.8,3,5.1,10870,1.3,0,0.0,0,0.0,-72,-5.8
"01005","2","10","71","0","2023","4","",19,473,477,475,8095503,0,0,1311,"",5.29,2.04,2.03,2.02,2.97,0.00,0.00,1.46,"",0,0.0,7,1.5,9,1.9,10,2.2,862601,11.9,0,0.0,0,0.0,118,9.9
"01005","3","10","71","0","2023","4","",30,936,949,944,11041501,52603,113,901,"",3.52,1.31,1.30,1.29,1.56,0.40,0.43,1.20,"",0,0.0,-18,-1.9,-5,-0.5,-12,-1.3,184967,1.7,-10347,-16.4,-335,-74.8,26,3.0
"01005","5","10","71","0","2023","4","",537,6076,6173,6178,65866716,6080409,47000,825,"",0.93,0.94,0.94,0.94,0.89,1.03,1.00,0.94,"",7,1.3,-320,-5.0,-163,-2.6,-214,-3.3,-2599802,-3.8,-604778,-9.0,-40892,-46.5,-1,-0.1
"01007","0","10","70","0","2023","4","",442,4983,4906,4851,67677957,3294363,24800,1060,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,7.5,43,0.9,87,1.8,-79,-1.6,2607325,4.0,-679843,-17.1,-28139,-53.2,38,3.7
"01007","1","10","71","0","2023","4","",9,71,65,67,1390798,0,0,1581,"",3.96,0.74,0.69,0.72,0.81,0.00,0.00,1.12,"",-1,-10.0,10,16.4,3,4.8,3,4.7,229601,19.8,0,0.0,0,0.0,148,10.3
"01007","2","10","71","0","2023","4","",13,193,193,202,3422219,0,0,1343,"",4.88,1.26,1.28,1.36,1.59,0.00,0.00,1.22,"",0,0.0,16,9.0,21,12.2,25,14.1,620380,22.1,0,0.0,0,0.0,114,9.3
"01007","3","10","71","0","2023","4","",31,1068,1054,1033,11024889,46528,93,806,"",4.89,2.25,2.25,2.24,1.98,0.65,0.66,0.88,"",0,0.0,14,1.3,-5,-0.5,-21,-2.0,324755,3.0,-2768,-5.6,-251,-73.0,26,3.3
"01007","5","10","71","0","2023","4","",389,3651,3594,3549,51840051,3247835,24707,1108,"",0.90,0.86,0.86,0.86,0.89,1.02,1.00,1.04,"",32,9.0,3,0.1,68,1.9,-86,-2.4,1432589,2.8,-677075,-17.3,-27888,-53.0,32,3.0
"01009","0","10","70","0","2023","4","",942,8875,8916,8955,103122211,6109100,43255,890,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,3.4,94,1.1,138,1.6,132,1.5,653001,0.6,205731,3.5,-29867,-40.8,-6,-0.7
"01009","1","10","71","0","2023","4","",10,82,76,87,1312791,0,0,1237,"",2.07,0.48,0.45,0.51,0.50,0.00,0.00,1.05,"",0,0.0,-5,-5.7,-7,-8.4,0,0.0,35434,2.8,0,0.0,0,0.0,90,7.8
"01009","2","10","71","0","2023","4","",12,143,144,151,2053786,0,0,1082,"",2.11,0.52,0.53,0.55,0.63,0.00,0.00,1.17,"",1,9.1,-4,-2.7,-4,-2.7,6,4.1,146418,7.7,0,0.0,0,0.0,82,8.2
"01009","3","10","71","0","2023","4","",43,1915,1923,1908,21043346,59150,118,845,"",3.19,2.27,2.26,2.24,2.48,0.45,0.48,1.10,"",-1,-2.3,-22,-1.1,-17,-0.9,-41,-2.1,127657,0.6,-16017,-21.3,-446,-79.1,17,2.1
"01009","5","10","71","0","2023","4","",877,6735,6773,6809,78712288,6049950,43137,894,"",0.96,0.89,0.89,0.89,0.89,1.02,1.00,1.00,"",31,3.7,125,1.9,166,2.5,167,2.5,343492,0.4,221748,3.8,-29421,-40.5,-17,-1.9
"01011","0","10","70","0","2023","4","",212,2792,2806,2864,35972621,2144076,17006,981,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.4,131,4.9,57,2.1,134,4.9,4172402,13.1,-1342,-0.1,-7068,-29.4,79,8.8
"01011","1","10","71","0","2023","4","",6,30,34,33,543513,0,0,1293,"",5.51,0.56,0.63,0.60,0.59,0.00,0.00,0.99,"",0,0.0,1,3.4,6,21.4,0,0.0,72954,15.5,0,0.0,0,0.0,86,7.1
"01011","2","10","71","0","2023","4","",10,162,160,161,3513055,0,0,1678,"",7.82,1.89,1.86,1.83,3.07,0.00,0.00,1.65,"",0,0.0,-18,-10.0,-21,-11.6,-14,-8.0,545827,18.4,0,0.0,0,0.0,400,31.3
"01011","3","10","71","0","2023","4","",15,329,331,322,3787260,0,0,890,"",4.94,1.24,1.24,1.18,1.28,0.00,0.00,1.05,"",0,0.0,10,3.1,10,3.1,8,2.5,335152,9.7,0,0.0,0,0.0,55,6.6
"01011","5","10","71","0","2023","4","",181,2271,2281,2348,28128793,2144076,17006,941,"",0.88,0.95,0.95,0.96,0.91,1.03,1.01,0.95,"",3,1.7,138,6.5,62,2.8,140,6.3,3218469,12.9,-1342,-0.1,-7068,-29.4,65,7.4
"01013","0","10","70","0","2023","4","",545,6961,6984,6936,80462715,6754811,59365,889,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.9,199,2.9,116,1.7,63,0.9,6272400,8.5,-1031944,-13.3,-61784,-51.0,54,6.5
"01013","1","10","71","0","2023","4","",6,41,40,41,524627,0,0,992,"",2.14,0.31,0.30,0.31,0.26,0.00,0.00,0.84,"",0,0.0,2,5.1,0,0.0,1,2.5,1050,0.2,0,0.0,0,0.0,-23,-2.3
"01013","2","10","71","0","2023","4","",12,93,92,90,1602222,0,0,1345,"",3.65,0.44,0.43,0.42,0.63,0.00,0.00,1.46,"",0,0.0,7,8.1,5,5.7,1,1.1,218212,15.8,0,0.0,0,0.0,126,10.3
"01013","3","10","71","0","2023","4","",19,702,707,703,8165798,13030,26,892,"",2.43,1.06,1.06,1.06,1.23,0.09,0.08,1.16,"",-2,-9.5,0,0.0,9,1.3,12,1.7,191073,2.4,6069,87.2,-22,-45.8,12,1.4
"01013","5","10","71","0","2023","4","",508,6125,6145,6102,70170068,6741781,59339,881,"",0.96,1.03,1.03,1.03,1.01,1.03,1.01,0.98,"",7,1.4,190,3.2,102,1.7,49,0.8,5862065,9.1,-1038013,-13.3,-61762,-51.0,58,7.0
"01015","0","10","70","0","2023","4","",2828,43297,43161,42980,562129990,34156700,251269,1002,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",69,2.5,-840,-1.9,-1324,-3.0,-1409,-3.2,27912894,5.2,-3845747,-10.1,-228358,-47.6,75,8.1
"01015","1","10","71","0","2023","4","",46,3424,3419,3433,73682252,0,0,1655,"",3.17,4.13,4.14,4.16,5.14,0.00,0.00,1.24,"",-1,-2.1,-62,-1.8,-64,-1.8,-21,-0.6,13898708,23.2,0,0.0,0,0.0,331,25.0
"01015","2","10","71","0","2023","4","",31,1790,1782,1773,26156281,0,0,1129,"",1.82,1.35,1.34,1.34,1.46,0.00,0.00,1.09,"",2,6.9,30,1.7,25,1.4,30,1.7,1486234,6.0,0,0.0,0,0.0,47,4.3
"01015","3","10","71","0","2023","4","",74,5679,5692,5657,82776959,73197,182,1122,"",1.83,1.38,1.38,1.38,1.79,0.10,0.13,1.30,"",-1,-1.3,-618,-9.8,-608,-9.7,-637,-10.1,4738509,6.1,-107367,-59.5,-2262,-92.6,169,17.7
"01015","5","10","71","0","2023","4","",2677,32404,32268,32117,379514498,34083503,251087,905,"",0.97,0.88,0.87,0.87,0.78,1.03,1.01,0.90,"",69,2.6,-190,-0.6,-677,-2.1,-781,-2.4,7789443,2.1,-3738380,-9.9,-226096,-47.4,34,3.9
"01017","0","10","70","0","2023","4","",787,8851,8936,8929,119707667,8717835,90613,1034,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,6.1,337,4.0,430,5.1,378,4.4,14392632,13.7,1417599,19.4,-19216,-17.5,84,8.8
"01017","1","10","71","0","2023","4","",6,59,54,49,828463,0,0,1180,"",1.48,0.35,0.32,0.29,0.27,0.00,0.00,0.86,"",0,0.0,8,15.7,-1,-1.8,-10,-16.9,47810,6.1,0,0.0,0,0.0,88,8.1
"01017","2","10","71","0","2023","4","",13,135,136,137,1864365,0,0,1055,"",2.74,0.50,0.50,0.50,0.49,0.00,0.00,0.99,"",0,0.0,4,3.1,5,3.8,4,3.0,152144,8.9,0,0.0,0,0.0,55,5.5
"01017","3","10","71","0","2023","4","",48,1526,1536,1530,19305213,24238,92,970,"",4.26,1.81,1.80,1.80,1.96,0.13,0.18,1.09,"",0,0.0,31,2.1,47,3.2,35,2.3,1330928,7.4,6356,35.5,-78,-45.9,44,4.8
"01017","5","10","71","0","2023","4","",720,7131,7210,7213,97709626,8693597,90521,1046,"",0.94,0.94,0.94,0.94,0.95,1.03,1.01,1.00,"",45,6.7,294,4.3,379,5.5,349,5.1,12861750,15.2,1411243,19.4,-19138,-17.5,92,9.6
"01019","0","10","70","0","2023","4","",488,5348,5249,5264,59544037,4836873,34915,866,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,4.5,143,2.7,5,0.1,13,0.2,731210,1.2,-383614,-7.3,-40761,-53.9,2,0.2
"01019","1","10","71","0","2023","4","",10,42,44,45,679691,0,0,1197,"",3.99,0.41,0.44,0.45,0.45,0.00,0.00,1.04,"",0,0.0,-3,-6.7,1,2.3,-3,-6.2,42561,6.7,0,0.0,0,0.0,116,10.7
"01019","2","10","71","0","2023","4","",11,75,75,74,1143964,0,0,1179,"",3.74,0.46,0.46,0.46,0.60,0.00,0.00,1.32,"",0,0.0,-4,-5.1,-2,-2.6,-4,-5.1,45215,4.1,0,0.0,0,0.0,95,8.8
"01019","3","10","71","0","2023","4","",24,1150,1170,1178,13066350,27474,169,862,"",3.43,2.26,2.34,2.35,2.67,0.26,0.86,1.15,"",0,0.0,21,1.9,38,3.4,52,4.6,596821,4.8,-3944,-12.6,-90,-34.7,12,1.4
"01019","5","10","71","0","2023","4","",443,4081,3960,3967,44654032,4809399,34746,858,"",0.93,0.89,0.88,0.88,0.87,1.03,1.00,0.98,"",21,5.0,129,3.3,-32,-0.8,-32,-0.8,46613,0.1,-379670,-7.3,-40671,-53.9,-4,-0.5
"01021","0","10","70","0","2023","4","",924,9152,9088,9088,110859399,6957778,47375,936,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",51,5.8,0,0.0,-107,-1.2,-103,-1.1,1113800,1.0,-12049,-0.2,-40593,-46.1,16,1.7
"01021","1","10","71","0","2023","4","",7,56,56,58,884121,0,0,1200,"",1.48,0.32,0.32,0.33,0.31,0.00,0.00,0.96,"",0,0.0,-2,-3.4,-3,-5.1,-3,-4.9,47351,5.7,0,0.0,0,0.0,115,10.6
"01021","2","10","71","0","2023","4","",14,264,264,266,4158236,0,0,1209,"",2.51,0.94,0.95,0.95,1.18,0.00,0.00,1.25,"",0,0.0,13,5.2,12,4.8,16,6.4,416148,11.1,0,0.0,0,0.0,62,5.4
"01021","3","10","71","0","2023","4","",35,1710,1690,1680,19270062,129579,373,875,"",2.64,1.97,1.95,1.94,2.12,0.86,1.40,1.08,"",0,0.0,77,4.7,33,2.0,40,2.4,1406883,7.9,-19732,-13.2,-800,-68.2,39,4.7
"01021","5","10","71","0","2023","4","",868,7122,7078,7084,86546980,6828199,47002,938,"",0.96,0.91,0.91,0.91,0.91,1.01,1.00,1.00,"",51,6.2,-88,-1.2,-149,-2.1,-156,-2.2,-756582,-0.9,7683,0.1,-39793,-45.8,9,1.0
